pid, patent #, year,  tech area, title, city, state, country, url, status, cpc_class
pat0000,6882063,2005,Solar Inverter,DC to DC converter and power management system,Calgary,,Canada,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=150&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/,valid,H02M 7/003Ê(20130101); H05K 7/1432Ê(20130101); Y02E 10/56Ê(20130101)
pat0001,6914418,2005,Solar Monitoring,Multi-mode renewable power converter system ,Taipei,,Taiwan,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=503&p=11&f=G&l=50&d=PTXT&S1=%28%28%28solar.CLTX.+or+solar.DCTX.%29+AND+%28%28monitor.CLTX.+or+monitor.DCTX.%29+OR+%28monitoring.CLTX.+or+monitoring.DCTX.%29%29%29+OR+%28%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29+AND+%28%28monitor.CLTX.+or+monitor.DCTX.%29+OR+%28monitoring.CLTX.+or+monitoring.DCTX.%29%29%29%29&OS=+%28ACLM/solar+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29+OR+%28ACLM/photovoltaic+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29&RS=%28%28ACLM/solar+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29+OR+%28ACLM/photovoltaic+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29%29,invalid url,
pat0002,6928775,2005,Solar Mounting/Rack,Multi-use electric tile modules ,Tucson  AZ,AZ,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=147&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/,valid,H01L 31/035281Ê(20130101); H01L 31/042Ê(20130101); H01L 31/0482Ê(20130101); Y02B 10/12Ê(20130101); Y02E 10/50Ê(20130101)
pat0003,6930238,2005,Solar Mounting/Rack,Solar cell module-mounting structure and solar cell module array,Tokyo,,Japan,http://patft.uspto.gov/netacgi/nph-Parser?Sect2=PTO1&Sect2=HITOFF&p=1&u=/netahtml/PTO/search-bool.html&r=1&f=G&l=50&d=PALL&RefSrch=yes&Query=PN/6930238,valid,F24J 2/5237Ê(20130101); H01L 31/0422Ê(20130101); F24J 2002/4687Ê(20130101); F24J 2002/5292Ê(20130101); Y02E 10/47Ê(20130101); Y02E 10/50Ê(20130101)
pat0004,6940735,2005,Solar Inverter,Power converter system ,Dearborn  MI,MI,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=145&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/,no CPC,
pat0005,6949843,2005,Solar Inverter,Grid-connected power systems having back-up power sources and methods of providing back-up power in grid-connected power systems ,Columbia  MD,MD,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=144&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/,valid,H02H 5/042Ê(20130101); H02H 7/122Ê(20130101)
pat0006,6956500,2005,Solar Monitoring,Real-time residential energy monitor ,Ormond Beach  FL,FL,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=490&p=10&f=G&l=50&d=PTXT&S1=%28%28%28solar.CLTX.+or+solar.DCTX.%29+AND+%28%28monitor.CLTX.+or+monitor.DCTX.%29+OR+%28monitoring.CLTX.+or+monitoring.DCTX.%29%29%29+OR+%28%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29+AND+%28%28monitor.CLTX.+or+monitor.DCTX.%29+OR+%28monitoring.CLTX.+or+monitoring.DCTX.%29%29%29%29&OS=+%28ACLM/solar+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29+OR+%28ACLM/photovoltaic+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29&RS=%28%28ACLM/solar+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29+OR+%28ACLM/photovoltaic+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29%29,invalid url,
pat0007,6959517,2005,Solar Mounting/Rack,Photovoltaic panel mounting bracket,Perrysburg  OH,OH,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=6959517.PN.&OS=PN/6959517&RS=PN/6959517,valid,E06B 1/6015Ê(20130101); E06B 3/5842Ê(20130101); F24J 2/464Ê(20130101); F24J 2/465Ê(20130101); F24J 2/5211Ê(20130101); F24J 2/5243Ê(20130101); F24J 2/5254Ê(20130101); H01L 31/0422Ê(20130101); H01L 31/0482Ê(20130101); F24J 2002/4676Ê(20130101); Y02B 10/12Ê(20130101); Y02B 10/20Ê(20130101); Y02E 10/47Ê(20130101); Y02E 10/50Ê(20130101)
pat0008,6966184,2005,Solar Inverter,Photovoltaic power generating apparatus  method of producing same and photovoltaic power generating system ,Tokyo,,Japan,http://patft.uspto.gov/netacgi/nph-Parser?Sect2=PTO1&Sect2=HITOFF&p=1&u=/netahtml/PTO/search-bool.html&r=1&f=G&l=50&d=PALL&RefSrch=yes&Query=PN/6966184,valid,H01L 27/142Ê(20130101); H01L 31/042Ê(20130101); Y02E 10/46Ê(20130101); Y02E 10/50Ê(20130101)
pat0009,7000395,2006,Solar Monitoring; Solar Inverter,Hybrid clean-energy power-supply framework ,Jhongli ,,Taiwan,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=7000395.PN.&OS=PN/7000395&RS=PN/7000395,valid,F01K 13/00Ê(20130101); F01K 13/02Ê(20130101)
pat0010,7126294,2006,Solar Inverter,Method and device for controlling photovoltaic inverter  and feed water device,Tokyo,,Japan,http://patft.uspto.gov/netacgi/nph-Parser?Sect2=PTO1&Sect2=HITOFF&p=1&u=/netahtml/PTO/search-bool.html&r=1&f=G&l=50&d=PALL&RefSrch=yes&Query=PN/7126294,valid,G05F 1/67Ê(20130101); H02J 7/35Ê(20130101); H02M 7/53875Ê(20130101); H02P 27/06Ê(20130101); H02M 2001/0022Ê(20130101); Y02E 10/566Ê(20130101); Y02E 10/58Ê(20130101)
pat0011,7155870,2007,Solar Mounting/Rack ,Shingle assembly with support bracket,Berkeley  CA,CA,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=116&f=G&l=50&d=PTXT&s1=%28mounting.CLTX.+or+mounting.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/mounting+AND+ACLM/,invalid url,
pat0012,7156088,2007,Solar Mounting/Rack  ,Solar collector mounting array,Pasadena  CA,CA,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=7156088.PN.&OS=PN/7156088&RS=PN/7156088,valid,F24J 2/16Ê(20130101); F24J 2/5203Ê(20130101); F24J 2/5228Ê(20130101); F24J 2/525Ê(20130101); F24J 2/5256Ê(20130101); F24J 2/526Ê(20130101); F24J 2/5406Ê(20130101); F24J 2/542Ê(20130101); F24J 2/5431Ê(20130101); H01L 31/0522Ê(20130101); F24J 2/4638Ê(20130101); F24J 2/523Ê(20130101); F24J 2/5233Ê(20130101); F24J 2002/467Ê(20130101); F24J 2002/5292Ê(20130101); F24J 2002/5441Ê(20130101); F24J 2002/5451Ê(20130101); F24J 2002/5458Ê(20130101); F24J 2002/5465Ê(20130101); F24J 2002/5468Ê(20130101); Y02B 10/20Ê(20130101); Y02E 10/47Ê(20130101); Y02E 10/52Ê(20130101)
pat0013,7158395,2007,Solar Inverter,Method and apparatus for tracking maximum power point for inverters  for example  in photovoltaic applications ,Dearborn  MI,MI,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect2=PTO1&Sect2=HITOFF&p=1&u=/netahtml/PTO/search-bool.html&r=1&f=G&l=50&d=PALL&RefSrch=yes&Query=PN/7158395,valid,G05F 1/67Ê(20130101); Y02E 10/58Ê(20130101)
pat0014,7161082,2007,Solar Inverter; Solar Monitoring,Photovoltaic power generation systems and methods of controlling photovoltaic power generation systems,Tokyo,,Japan,http://patft.uspto.gov/netacgi/nph-Parser?Sect2=PTO1&Sect2=HITOFF&p=1&u=/netahtml/PTO/search-bool.html&r=1&f=G&l=50&d=PALL&RefSrch=yes&Query=PN/7161082,valid,G08B 13/128Ê(20130101); H01L 31/02021Ê(20130101); H01L 31/048Ê(20130101); Y02E 10/50Ê(20130101)
pat0015,7187277,2007,Solar Monitoring,Monitoring terminal device,Tokyo,N/A,Japan,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=7187277.PN.&OS=PN/7187277&RS=PN/7187277,valid,G08B 13/00Ê(20130101); G08B 15/004Ê(20130101); G08B 17/00Ê(20130101); G08B 21/00Ê(20130101); G08B 23/00Ê(20130101); G08B 25/007Ê(20130101); G08B 25/10Ê(20130101); G08B 29/12Ê(20130101)
pat0016,7227278,2007,Solar Inverter,Multiple bi-directional input/output power control system ,Hauppauge  NY,NY,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=133&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/,valid,G01R 31/405Ê(20130101); G01R 31/02Ê(20130101); H01L 31/042Ê(20130101)
pat0017,7230532,2007,Solar Monitoring,Wireless sensor system ,Oberhaching,,Germany,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=7230532.PN.&OS=PN/7230532&RS=PN/7230532,valid,G01D 21/00Ê(20130101); G08C 17/02Ê(20130101); H05B 39/042Ê(20130101); Y02B 20/14Ê(20130101)
pat0018,7256566,2007,Solar Inverter,Method and apparatus for determining a maximum power point of photovoltaic cells,Dearborn  MI,MI,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect2=PTO1&Sect2=HITOFF&p=1&u=/netahtml/PTO/search-bool.html&r=1&f=G&l=50&d=PALL&RefSrch=yes&Query=PN/7256566,valid,G05F 1/67Ê(20130101); Y02E 10/58Ê(20130101)
pat0019,7260918,2007,Solar Mounting/Rack  ,Apparatus and method for positioning a module on an object,Albuquerque  NM,NM,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=0&f=S&l=50&d=PALL&Query=ref/7260918,no abstract or claims,
pat0020,7274975,2007,Solar Monitoring,Optimized energy management system,Washington  DC,DC,USA,http://www.google.com/patents?id=J22EAAAAEBAJ&zoom=4&dq=%22solar%20inverter%22&pg=PA1#v=onepage&q=%22solar%20inverter%22&f=false,invalid url,
pat0021,7297866,2007,Solar Mounting/Rack  ,Ventilated photovoltaic module frame,San Jose  CA,CA,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=110&f=G&l=50&d=PTXT&s1=%28mounting.CLTX.+or+mounting.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/mounting+AND+ACLM/,invalid url,
pat0022,7305983,2007,Site Assessment,Assessment of solar energy potential on existing buildings in a region ,Honolulu  HI,HI, USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=505&f=G&l=50&d=PTXT&s1=%28%28%28solar.CLTX.+or+solar.DCTX.%29+OR+%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29%29+AND+%28%28%28%28%28%28%28%28%28mapping.CLTX.+or+mapping.DCTX.%29+OR+%28estimation.CLTX.+or+estimation.DCTX.%29%29+OR+%28obstruction.CLTX.+or+obstruction.DCTX.%29%29+OR+%28potential.CLTX.+or+potential.DCTX.%29%29+OR+%28site.CLTX.+or+site.DCTX.%29%29+OR+%28terrain.CLTX.+or+terrain.DCTX.%29%29+OR+%28access.CLTX.+or+access.DCTX.%29%29+OR+%28azimuth.CLTX.+or+azimuth.DCTX.%29%29+OR+%28survey.CLTX.+or+survey.DCTX.%29%29%29&p=11&OS=+%28%28ACLM/solar+OR+ACLM/photovoltaic%29+AND+%28%28%28%28%28%28%28%28ACLM/mapping+OR+ACLM/estimation%29+OR+ACLM/obstruction%29+OR+ACLM/potential%29+OR+ACLM/site%29+OR+ACLM/terrain%29+OR+ACLM/access%29+OR+ACLM/azimuth%29+OR+ACLM/survey%29%29&RS=%28%28ACLM/solar+OR+ACLM/photovoltaic%29+AND+%28%28%28%28%28%28%28%28ACLM/mapping+OR+ACLM/estimation%29+OR+ACLM/obstruction%29+OR+ACLM/potential%29+OR+ACLM/site%29+OR+ACLM/terrain%29+OR+ACLM/access%29+OR+ACLM/azimuth%29+OR+ACLM/survey%29%29,invalid url,
pat0023,7307209,2007,Solar Mounting/Rack  ,Photovoltaic array ,Perrysburg  OH,OH,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=109&f=G&l=50&d=PTXT&s1=%28mounting.CLTX.+or+mounting.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/mounting+AND+ACLM/,invalid url,
pat0024,7310052,2007,Solar Monitoring,Wireless meter-reading system and methods thereof ,Henderson  NV,NV,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=7310052.PN.&OS=PN/7310052&RS=PN/7310052,valid,G01D 4/004Ê(20130101); H04Q 9/00Ê(20130101); Y02B 90/242Ê(20130101); Y04S 20/322Ê(20130101); Y04S 20/46Ê(20130101)
pat0025,7324361,2008,Solar Inverter,Solar array inverter with maximum power tracking,Torrance  CA,CA,USA,http://www.google.com/patents?id=H5WnAAAAEBAJ&zoom=4&dq=Solar%20Racking&pg=PA1#v=onepage&q&f=false,invalid url,
pat0026,7333916,2008,Solar Monitoring,Performance monitor for a photovoltaic supply ,Warrenville  IL,IL,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=7333916.PN.&OS=PN/7333916&RS=PN/7333916,valid,G01R 31/405Ê(20130101)
pat0027,7336201,2008,Solar Monitoring,Remote access energy meter system and method,Mineola  NY,NY,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=7336201.PN.&OS=PN/7336201&RS=PN/7336201,valid,G01D 4/004Ê(20130101); H04Q 9/00Ê(20130101); Y02B 90/242Ê(20130101); Y04S 20/322Ê(20130101)
pat0028,7338311,2008,Solar Inverter,Protective device for a load current carrying apparatus ,Niestetal,,Germany,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=129&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/,valid,H01L 31/048Ê(20130101); H01L 31/0522Ê(20130101); H01L 27/1422Ê(20130101); H01L 31/02021Ê(20130101); Y02B 10/12Ê(20130101); Y02E 10/52Ê(20130101)
pat0029,7352549,2008,Solar Inverter,Method of automatically recognizing an electrical system,Niestetal,,Germany,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=128&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/,valid,H02J 3/26Ê(20130101); Y02E 40/50Ê(20130101)
pat0030,7365266,2008,Solar Mounting/Rack  ,Method and system for mounting photovoltaic material,Auburn Hills  MI,MI,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=106&f=G&l=50&d=PTXT&s1=%28mounting.CLTX.+or+mounting.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/mounting+AND+ACLM/,invalid url,
pat0031,7372709,2008,Solar Inverter,Power conditioning system for energy sources,Chicago  IL,IL,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=5&f=G&l=50&d=PALL&S1=7372709&OS=7372709&RS=7372709,valid,H02M 5/458Ê(20130101); H02M 7/5387Ê(20130101); H02M 2001/007Ê(20130101)
pat0032,7394237,2008,Solar Monitoring,Maximum power point tracking method and tracking device thereof for a solar power system ,Taipei Hsien,N/A,Taiwan,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=7394237.PN.&OS=PN/7394237&RS=PN/7394237,valid,G05F 1/67Ê(20130101); H02M 1/42Ê(20130101); H02M 3/157Ê(20130101); Y02B 70/12Ê(20130101)
pat0033,7397653,2008,Solar Inverter,Inverter design ,Bend  OR,OR,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=125&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/,valid,H01L 31/0485Ê(20130101); Y02E 10/50Ê(20130101)
pat0034,7406800,2008,Solar Mounting/Rack,Mounting system for a solar panel,Saratoga  CA,USA,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect2=PTO1&Sect2=HITOFF&p=1&u=/netahtml/PTO/search-bool.html&r=1&f=G&l=50&d=PALL&RefSrch=yes&Query=PN/7406800,valid,F24J 2/5211Ê(20130101); F24J 2/5262Ê(20130101); H01L 31/0422Ê(20130101); H01L 31/0482Ê(20130101); F24J 2/4638Ê(20130101); F24J 2002/5279Ê(20130101); Y02B 10/12Ê(20130101); Y02B 10/20Ê(20130101); Y02E 10/47Ê(20130101); Y02E 10/50Ê(20130101)
pat0035,7411802,2008,Solar Inverter,Method of converting a direct current voltage from a source of direct current voltage  more specifically from a photovoltaic source of direct current voltage  into a alternating current voltage ,Niestetal,,Germany,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=123&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/,invalid url,
pat0036,7414870,2008,Solar Inverter,Inverter,Ludenscheid,,Germany,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=122&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/,valid,F24J 2/36Ê(20130101); F24J 2/542Ê(20130101); H01L 31/0422Ê(20130101); H01L 31/045Ê(20130101); H01M 10/465Ê(20130101); H02J 7/355Ê(20130101); F24J 2/523Ê(20130101); F24J 2002/5489Ê(20130101); H01M 2/1016Ê(20130101); Y02B 10/14Ê(20130101); Y02B 10/20Ê(20130101); Y02E 10/47Ê(20130101); Y02E 10/50Ê(20130101); Y02E 60/12Ê(20130101)
pat0037,7432618,2008,Solar Inverter,Inverter Anti-Islanding Method,Bend OR,OR,USA,http://www.google.com/patents?id=gzCuAAAAEBAJ&zoom=4&dq=%22solar%20inverter%22&pg=PA1#v=onepage&q=%22solar%20inverter%22&f=false,invalid url,
pat0038,7433215,2008,Solar Inverter,Inverter startup algorithm ,Bend  OR,OR,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=120&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/,valid,H02J 3/382Ê(20130101); H02J 2003/388Ê(20130101); Y02E 10/563Ê(20130101)
